CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15759244,Boone,687.0,Germany,Male,44,8,95368.14,2.0,1.0,1,1787.85,0
15725997,She,660.0,France,Female,35,6,100768.77,1.0,1.0,0,19199.61,0
15724296,Kerr,684.0,Spain,Male,41,2,119782.72,2.0,0.0,0,120284.67,0
15636820,Loggia,725.0,Germany,Male,40,8,104149.66,1.0,1.0,0,62027.9,0
15744529,Chiekwugo,510.0,France,Male,63,8,0.0,2.0,1.0,1,115291.86,0
15763907,Watts,820.0,France,Female,39,1,104614.29,1.0,1.0,0,61538.43,1
15671800,Robinson,688.0,France,Male,20,8,137624.4,2.0,1.0,1,197582.79,0
15567383,Slone,678.0,Germany,Female,44,2,98009.13,2.0,0.0,1,31384.86,0
15777179,Ellis,,France,Male,35,9,,2.0,0.0,1,,0
15650391,,633.0,France,Female,29,7,169988.35,1.0,1.0,0,4272.0,0
15757001,,624.0,France,Female,32,2,79368.87,2.0,1.0,1,145471.94,0
15726313,Napolitani,687.0,Spain,Female,50,5,,2.0,1.0,0,110230.4,0
15658670,Chien,669.0,France,Female,38,8,0.0,2.0,1.0,0,84049.16,0
15589431,Pedder,807.0,Germany,Male,47,1,,1.0,1.0,1,,0
15795690,Shao,667.0,France,Male,31,3,99513.91,1.0,1.0,1,189657.26,0
15734948,Igwebuike,601.0,Spain,Male,24,7,0.0,2.0,0.0,0,144660.42,0
15713043,Siciliani,691.0,France,Female,33,6,0.0,2.0,1.0,1,100408.31,0
15602373,White,812.0,France,Male,44,4,115049.15,2.0,1.0,0,165038.41,0
15642515,Arcuri,620.0,France,Female,42,1,0.0,2.0,0.0,1,65565.92,0
15665385,Gibney,,France,Male,44,6,,1.0,,0,,0
15751336,Yao,,Spain,Male,30,3,,2.0,,1,,0
15618661,Chidubem,535.0,France,Male,30,6,103804.97,1.0,1.0,1,125710.53,0
15690670,Cox,720.0,France,Male,33,2,0.0,2.0,0.0,1,141031.08,0
15713845,Merrett,,France,Male,38,7,,1.0,1.0,0,,1
15582944,Becker,425.0,Spain,Female,39,5,,2.0,1.0,0,140941.47,0
15726310,Mordvinova,782.0,Spain,Female,27,3,0.0,2.0,1.0,0,143614.01,0
15622289,Rizzo,605.0,Spain,Female,36,9,0.0,2.0,0.0,1,35521.63,0
15784958,,797.0,France,Female,55,10,0.0,4.0,1.0,1,49418.87,1
15812197,Kline,850.0,France,Male,38,7,80293.98,1.0,0.0,0,126555.74,0
15614818,Trevisani,764.0,Spain,Female,33,9,,1.0,0.0,1,118982.51,0
15600462,Barwell,,France,Female,43,8,145618.37,,0.0,1,10350.74,0
15709252,Fuller,,Germany,Female,28,10,,1.0,0.0,1,,1
